"Zeit";"Zch_Stampfenbachstrasse";"Zch_Schwamendingen";"Zch_Schimmelstrasse";"Wil_Rudenzburg Kreuzung";"WiH_Riet";"Wet_Filderen";"Vad_Mühleholz";"StG_Rorschacher Strasse";"StG_Blumenbergplatz";"StG_Bild";"Rap_Tüchelweier";"Opf_Balsberg";"Obf_Gugelrebenstrasse";"Mel_Wältigasse";"Gra_Marktplatz";"Flu_ARA";"EKa_Gillstrasse";"App_Feuerschau";"Alt_Rorschacherstrasse";"7304_0010"
;"CO";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"CO"
;"CO";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"CO";"CO"
;"min30";"min30";"min30";"min30";"min30";"min30";"min30";"min30";"min30";"min30";"min30";"min30";"min30";"min30";"min30";"min30";"min30";"min30";"min30";"min30"
;"ppm";"ppm";"ppm";"ppm";"ppm";"ppm";"ppm";"ppm";"ppm";"ppm";"ppm";"ppm";"ppm";"ppm";"ppm";"ppm";"ppm";"ppm";"ppm";"ppm"
;"Final";"Final";"Final";"Final";"Final";"Final";"Final";"Final";"Final";"Final";"Final";"Final";"Final";"Final";"Final";"Final";"Final";"Final";"Final";"Final"
01.01.2018 00:00:00;0.20212;;;;;;;;;;;;;;0.0731439837916844;;;;;
01.01.2018 00:30:00;0.19974;;;;;;;;;;;;;;0.104263404360375;;;;;
01.01.2018 01:00:00;0.20407;;;;;;;;;;;;;;0.172366703873702;;;;;
01.01.2018 01:30:00;0.19313;;;;;;;;;;;;;;0.118744838448447;;;;;
01.01.2018 02:00:00;0.19061;;;;;;;;;;;;;;0.112535300683571;;;;;
01.01.2018 02:30:00;0.18535;;;;;;;;;;;;;;0.144089977101039;;;;;
01.01.2018 03:00:00;0.17793;;;;;;;;;;;;;;0.118375430341665;;;;;
01.01.2018 03:30:00;0.16821;;;;;;;;;;;;;;0.0522128700452849;;;;;
01.01.2018 04:00:00;0.16235;;;;;;;;;;;;;;0.0505931808978372;;;;;
01.01.2018 04:30:00;0.16116;;;;;;;;;;;;;;0.0473778248432864;;;;;
01.01.2018 05:00:00;0.15989;;;;;;;;;;;;;;0.0490840403852954;;;;;
01.01.2018 05:30:00;0.15618;;;;;;;;;;;;;;0.0466301536145979;;;;;
01.01.2018 06:00:00;0.15267;;;;;;;;;;;;;;0.0458895464881842;;;;;
01.01.2018 06:30:00;0.15203;;;;;;;;;;;;;;0.0440386567709588;;;;;
01.01.2018 07:00:00;0.15076;;;;;;;;;;;;;;0.0473345445249407;;;;;
01.01.2018 07:30:00;0.14774;;;;;;;;;;;;;;0.0574884504741312;;;;;
01.01.2018 08:00:00;0.15033;;;;;;;;;;;;;;0.0604763344231991;;;;;
01.01.2018 08:30:00;0.1492;;;;;;;;;;;;;;0.0809256603035956;;;;;
01.01.2018 09:00:00;0.14809;;;;;;;;;;;;;;0.105017692422827;;;;;
01.01.2018 09:30:00;0.14966;;;;;;;;;;;;;;0.138126373312884;;;;;
01.01.2018 10:00:00;0.1512;;;;;;;;;;;;;;0.203117862200853;;;;;
01.01.2018 10:30:00;0.15176;;;;;;;;;;;;;;0.153155378048635;;;;;
01.01.2018 11:00:00;0.15117;;;;;;;;;;;;;;0.0806349114952268;;;;;
01.01.2018 11:30:00;0.15598;;;;;;;;;;;;;;0.0799251541849485;;;;;
01.01.2018 12:00:00;0.15472;;;;;;;;;;;;;;0.0647411128373532;;;;;
01.01.2018 12:30:00;0.15642;;;;;;;;;;;;;;0.0658701946628249;;;;;
01.01.2018 13:00:00;0.15628;;;;;;;;;;;;;;0.0864646914176846;;;;;
01.01.2018 13:30:00;0.15423;;;;;;;;;;;;;;0.0933224195067615;;;;;
