44 1001
Wienhold, Frank G.
Institute for Atmosheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on Messfeld Hoenggerberg
permanent monitoring
1 1
2012 06 20  2012 06 20
0.0
time in minutes since 2012-06-20 0h00 GMT
18
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0  9999.0  9999.0  9999.0  9999.0 
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
radiation (W/m2)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: Messfeld HPS G41, CH 8093 Zurich, Switzerland
latitude 47.40650 deg north
longitude 8.51190 deg east
elevation 541 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum radiation      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)    (W/m2)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

         0    953.21     18.76     16.74     88.06  99999.00  99999.00  99999.00      0.68      0.74     93.00      1.44     34.00     -0.04      0.68         0        30      9999         0
        10    953.15     19.00     16.54     85.67  99999.00  99999.00  99999.00      0.76      0.79     97.00      1.39     69.00     -0.09      0.75         0        30      9999         0
        20    953.15     18.29     16.80     91.01  99999.00  99999.00  99999.00      0.61      0.64     73.00      1.26     72.00      0.18      0.58         0        40      9999         0
        30    953.15     18.25     16.86     91.58  99999.00  99999.00  99999.00      0.63      0.65     99.00      1.22     99.00     -0.10      0.63         0        40      9999         0
        40    953.04     18.58     17.00     90.56  99999.00  99999.00  99999.00      0.26      0.47     68.00      0.81    330.00      0.10      0.24         0        40      9999         0
        50    953.07     18.44     16.69     89.56  99999.00  99999.00  99999.00      0.18      0.51     98.00      1.12    280.00     -0.02      0.17         0        40      9999         0
        60    953.13     19.29     16.38     83.26  99999.00  99999.00  99999.00      0.32      0.45    328.00      1.40    274.00      0.27     -0.17         0        30      9999         0
        70    952.99     18.60     16.40     87.05  99999.00  99999.00  99999.00      0.50      0.55     87.00      1.10     95.00      0.03      0.50         0        30      9999         0
        80    953.01     18.68     16.30     86.06  99999.00  99999.00  99999.00      0.38      0.41    112.00      0.92    103.00     -0.14      0.35         0        30      9999         0
        90    953.07     17.55     16.47     93.43  99999.00  99999.00  99999.00      0.66      0.67    111.00      1.08    112.00     -0.24      0.62         0        40      9999         0
       100    953.20     18.16     16.46     89.80  99999.00  99999.00  99999.00      0.20      0.58    212.00      1.79    243.00     -0.17     -0.11         0        40      9999         0
       110    953.37     18.78     16.75     88.00  99999.00  99999.00  99999.00      1.36      1.38    254.00      2.69    255.00     -0.37     -1.31         0        30      9999         0
