43 1001
Wienhold, Frank G.
Institute for Atmosheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on the roof of the ETH CHN building
permanent monitoring
1 1
2010 12 03  2010 12 03
0.0
time in minutes since 2010-12-03 0h00 GMT
17
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: roof of building CHN, Universitaestrasse 16, CH 8092 Zurich, Switzerland
latitude 47.37929 deg north
longitude 8.54872 deg east
elevation 510 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

         0    948.22     -3.82     -5.65     87.10     -0.99      0.00      1.22      1.24    277.00      2.10    267.00      0.15     -1.21         0         0         2       128
        10    948.15     -3.55     -5.58     85.79     -0.82      0.00      0.54      0.84    314.00      1.84    292.00      0.37     -0.38         0         0         2       128
        20    947.98     -3.55     -5.58     85.79     -0.97      0.00      0.97      1.04    130.00      2.73    114.00     -0.62      0.74         0         0         3       128
        30    948.01     -3.02     -5.27     84.42     -0.95      0.00      0.88      1.18    160.00      2.91    117.00     -0.82      0.30         0         0         2       128
        40    948.17     -4.27     -6.02     87.59     -0.81      0.00      1.26      1.53    268.00      2.16    193.00     -0.05     -1.26         0         0         2       128
        50    948.18     -4.35     -6.11     87.50     -0.87      0.00      1.63      1.69    299.00      2.33    301.00      0.78     -1.43         0         0         2       128
        60    948.21     -4.55     -6.19     88.27     -0.80      0.00      1.19      1.23    303.00      1.97    294.00      0.65     -1.00         0         0         2       128
        70    948.11     -4.06     -5.92     86.84     -0.90      0.00      0.93      0.98      6.00      1.70    357.00      0.93      0.10         0         0         2       128
        80    948.11     -3.58     -5.53     86.31     -0.91      0.00      0.52      0.77     43.00      1.72    126.00      0.38      0.35         0         0         2       128
        90    948.11     -3.29     -5.19     86.67     -0.82      0.00      1.34      1.42    128.00      2.86    126.00     -0.83      1.06         0         0         2       128
       100    948.13     -3.41     -4.97     88.95     -0.73      0.00      0.93      0.99    118.00      2.12     98.00     -0.43      0.82         0         0         2       128
