;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse
;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse
;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet
;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet
;CO;CO_max_min30;CO_min_min30;CO_nb_min30;Hr;Hr_max_min30;Hr_min_min30;Hr_nb_min30;NO;NO_max_min30;NO_min_min30;NO_nb_min30;NO2_max_h1;NO2_max_min30;NO2_min_min30;NO2_nb_h1;NO2_nb_h1>200;NO2_nb_min30;NOx_nb_min30;O3;O3_max_h1;O3_max_min30;O3_min_h1;O3_min_min30;O3_nb_d1_mit_h1>200;O3_nb_d1_mit_h1>240;O3_nb_h1;O3_nb_h1>120;O3_nb_h1>160;O3_nb_h1>180;O3_nb_h1>200;O3_nb_h1>240;O3_nb_min30;p;p_max_min30;p_min_min30;p_nb_min30;PM10;PM10_max_min30;PM10_min_min30;PM10_nb_min30;PM2.5;PM2.5_max_min30;PM2.5_min_min30;PM2.5_nb_min30;PN;RainDur;RainDur_nb_min30;SO2_max_min30;SO2_min_min30;SO2_nb_min30;StrGlo;StrGlo_max_min30;StrGlo_nb_min30;T;T_max_h1;T_max_min30;T_min_min30;T_nb_min30;WVv_max_min30;WVv_min_min30;WVv_nb_min30;NO2;NOx;NOx_max_min30;NOx_min_min30;SO2
;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle 
;Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Anzahl mit Filter);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Anzahl mit Filter);Vertikale Verdichtung (Anzahl mit Filter);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Anzahl mit Filter);Vertikale Verdichtung (Anzahl mit Filter);Vertikale Verdichtung (Anzahl mit Filter);Vertikale Verdichtung (Anzahl mit Filter);Vertikale Verdichtung (Anzahl mit Filter);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Summe);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Mittelwert)
;mg/m3;mg/m3;mg/m3;1;%Hr;%Hr;%Hr;1;µg/m3;µg/m3;µg/m3;1;µg/m3;µg/m3;µg/m3;1;1;1;1;µg/m3;µg/m3;µg/m3;µg/m3;µg/m3;1;1;1;1;1;1;1;1;1;hPa;hPa;hPa;1;µg/m3;µg/m3;µg/m3;1;µg/m3;µg/m3;µg/m3;1;1/cm3;min;1;µg/m3;µg/m3;1;W/m2;W/m2;1;°C;°C;°C;°C;1;m/s;m/s;1;µg/m3;ppb;ppb;ppb;µg/m3
;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1;d1
Startzeit;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet
