;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse
;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse
;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet
;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet
;CO;CO;Hr;NO;NO;NO2;NO2;NOx;O3;O3;p;PM10;RainDur;SO2;SO2;StrGlo;T;WD;WVv
;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle 
;Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Summe);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Vektorielle Windmittelung(Richtung));Vertikale Verdichtung (Vektorielle Windmittelung(Betrag))
;mg/m3;ppm;%Hr;µg/m3;ppb;µg/m3;ppb;ppb;µg/m3;ppb;hPa;µg/m3;min;µg/m3;ppb;W/m2;°C;°;m/s
;h1;h1;h1;h1;h1;h1;h1;h1;h1;h1;h1;h1;h1;h1;h1;h1;h1;h1;h1
Startzeit;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet
01.01.2013 00:00;0.805136909;0.6916;82.928;80.54004647;64.572;63.88675554;33.4085;97.9805;3.441374813;1.725;962.39;183.74528;0;11.95206646;4.48905;0.0116645;2.36195;349.0764295;0.356069465
01.01.2013 01:00;0.8326345;0.71522;83.047;78.40530867;62.8605;61.60348074;32.2145;95.075;3.065816083;1.53675;961.86;271.98096;0;8.928671965;3.3535;0.01329205;2.063;264.2805238;0.285399008
01.01.2013 02:00;0.874282523;0.750995;83.591;81.31897943;65.1965;60.88924026;31.841;97.0375;3.040180335;1.5239;961.83;225.64472;0;6.971606115;2.61845;0.0126408;1.79265;268.9250878;0.390887417
01.01.2013 03:00;0.754984656;0.64852;84.6965;62.30216381;49.95;56.65351691;29.626;79.576;2.781428849;1.3942;961.735;198.11768;0;6.078605794;2.28305;0.0115558;1.4869;239.2108829;0.306641611
01.01.2013 04:00;0.766731087;0.65861;83.6855;67.11919997;53.812;59.18252103;30.9485;84.7605;2.717489102;1.36215;961.28;179.2896;0;6.147165001;2.3088;0.0143225;1.6573;198.1463021;0.523450739
01.01.2013 05:00;0.565702976;0.48593;82.731;11.84227556;9.4944;46.88572851;24.5181;34.0125;5.355976209;2.6847;961.03;123.76824;0;5.564744547;2.09005;0.0127495;2.4907;161.7149626;2.01282556
01.01.2013 06:00;0.509345721;0.43752;83.1255;10.46607751;8.39105;46.50967659;24.32145;32.7125;4.943709481;2.47805;960.905;78.680912;0;5.017602132;1.88455;0.01258655;2.79995;181.8535716;1.007823075
01.01.2013 07:00;0.460212113;0.395315;79.286;6.44574819;5.1678;44.19341479;23.1102;28.278;7.029581618;3.5236;960.795;65.07976;0;5.381032496;2.02105;0.0148655;3.28605;174.2056138;1.319772937
01.01.2013 08:00;0.333591644;0.28655;60.257;1.709573869;1.37063;21.15245661;11.06132;12.43195;42.71095268;21.409;960.58;41.202224;0;4.667084863;1.7529;6.064;5.4705;239.1384796;2.433885558
01.01.2013 09:00;0.284964449;0.24478;62.2465;1.92120166;1.5403;21.09390228;11.0307;12.571;41.03914277;20.571;960.965;22.834816;0;3.888704887;1.46055;28.4185;5.47025;214.8829486;1.679096659
01.01.2013 10:00;0.228665401;0.19642;50.8845;0.474662662;0.380555;7.084357259;3.704645;4.0852;65.86691642;33.016;961.18;18.718504;0;2.687800504;1.009505;51.1145;7.0072;243.5283271;4.649032446
01.01.2013 11:00;0.214177361;0.183975;52.113;0.754230369;0.604695;8.528346901;4.459755;5.06445;65.58462393;32.8745;961.185;12.750536;0;2.363122734;0.88756;60.415;7.1524;238.2231461;3.143809948
01.01.2013 12:00;0.20967204;0.180105;56.4335;0.644325361;0.51658;8.356843132;4.37007;4.88665;67.08087385;33.6245;961.1;12.59572;0;2.265688784;0.850965;40.549;7.08595;241.3014889;3.325020991
01.01.2013 13:00;0.203158534;0.17451;60.4715;0.634596495;0.50878;8.247938191;4.31312;4.8219;68.71677376;34.4445;961.155;13.134272;0.15;2.203053625;0.82744;41.264;7.38215;237.5372411;3.436210452
01.01.2013 14:00;0.198874405;0.17083;69.061;1.269043314;1.01744;7.191665437;3.76076;4.7782;71.7102711;35.945;961.6;10.3497552;55.217;1.967649262;0.739025;19.8445;7.17725;227.9666672;4.070467864
01.01.2013 15:00;0.201528702;0.17311;76.4105;1.059716775;0.849615;8.164112939;4.269285;5.1189;71.52872611;35.854;962.08;6.5459544;53.767;1.665789061;0.62565;8.0391;6.62615;234.3540556;3.93850468
01.01.2013 16:00;0.214229748;0.18402;80.922;1.546746322;1.240085;14.95968566;7.822915;9.063;62.5093316;31.333;962.375;11.844768;60;1.531599388;0.57525;1.315425;6.10005;217.184176;2.635123024
01.01.2013 17:00;0.213670949;0.18354;81.9045;1.151049627;0.92284;13.9260831;7.28241;8.20525;66.42651389;33.2965;962.455;10.5279824;60;1.461921933;0.54908;0.0117728;5.9976;205.8967073;3.198601356
01.01.2013 18:00;0.205271494;0.176325;82.216;0.560376469;0.449275;10.42575973;5.451975;5.90125;66.87439136;33.521;962.72;7.4198152;58.767;1.212459604;0.455385;0.00878895;5.88335;238.2262072;2.846946286
01.01.2013 19:00;0.20615626;0.177085;83.777;0.960482337;0.770055;12.47720756;6.524745;7.2948;64.365679;32.2635;963.08;5.1106496;60;1.237886417;0.464935;0.0087348;5.9142;227.399698;1.770503382
01.01.2013 20:00;0.226540799;0.194595;88.3075;10.42379436;8.35715;18.89409896;9.88035;18.2375;53.3632546;26.7485;963.38;5.0929496;35.5167;1.391046356;0.52246;0.0112845;5.5963;163.127711;2.379752012
01.01.2013 21:00;0.215347347;0.18498;84.1675;0.606601058;0.486335;11.53840681;6.033815;6.52015;61.39911416;30.7765;963.76;4.6826872;6.4833;1.281990622;0.4815;0.0100367;5.8036;223.0493392;1.9972151
01.01.2013 22:00;0.207943254;0.17862;84.6785;0.406304902;0.32575;8.762019233;4.58195;4.9077;65.08487646;32.624;964.34;7.5891688;60;0.938049711;0.35232;0.0084093;5.68095;245.8784618;2.476691579
01.01.2013 23:00;0.204107329;0.175325;86.7175;0.295190022;0.236665;7.395563407;3.867385;4.10405;62.92728408;31.5425;965.01;7.1131096;45.333;0.850932924;0.3196;0.0109048;5.52845;252.4725875;2.66112556
02.01.2013 00:00;0.201901235;0.17343;89.934;0.039463026;0.031639;9.996997442;5.227761;5.2594;57.0540044;28.5985;965.58;11.1359656;15.03333;0.907337849;0.340785;0.0107963;5.24875;283.3768331;1.683451648
02.01.2013 01:00;0.190375996;0.16353;88.562;0.215263642;0.172585;7.167197681;3.747965;3.92055;63.38713155;31.773;966.29;8.3404984;9.45;0.772975114;0.29032;0.01161025;4.91175;286.9583844;1.590281299
02.01.2013 02:00;0.185387546;0.159245;88.6445;0.243920143;0.19556;6.947714544;3.63319;3.82875;64.317799;32.2395;967.39;5.0179488;49.617;0.703497346;0.264225;0.01128495;4.7488;287.0933561;1.579685
02.01.2013 03:00;0.187581998;0.16113;90.231;0.304507282;0.244135;9.181030755;4.801065;5.0452;61.04300668;30.598;968.415;9.1102832;57.75;0.802275855;0.301325;0.015842;4.3951;255.9820283;1.140852808
02.01.2013 04:00;0.186266491;0.16;89.17;0.204728403;0.1641385;9.132165041;4.7755115;4.93965;63.55870154;31.859;969.275;6.801684;38.8167;0.878170232;0.32983;0.00759535;3.97355;274.8979541;1.466624209
02.01.2013 05:00;0.185405009;0.15926;89.1395;2.121980517;1.701272;15.17264406;7.934278;9.63555;58.97718429;29.5625;969.8;5.3926696;60;1.139041346;0.42781;0.013997;3.68575;288.1059303;1.121548608
02.01.2013 06:00;0.19961947;0.17147;89.665;1.190994107;0.954865;22.00594053;11.507635;12.4625;47.97575739;24.048;970.31;6.1221456;26.317;1.254553626;0.471195;0.01150155;3.44255;263.6088352;0.096647851
02.01.2013 07:00;0.234486229;0.20142;90.9795;8.835182729;7.0835;40.00989697;20.9225;28.006;26.97339603;13.5205;971.095;7.5893104;0;2.013510712;0.75625;0.01416005;2.99765;162.2658838;0.279611556
02.01.2013 08:00;0.270057308;0.231975;90.6025;11.45062632;9.1804;42.5725574;22.2626;31.443;24.54617941;12.30385;972.13;13.8909824;0;1.503962705;0.56487;8.4948;2.7809;74.18401005;0.049696757
02.01.2013 09:00;0.282577909;0.24273;90.634;14.82211508;11.88345;51.77440344;27.07455;38.958;16.28588236;8.16335;973.16;8.6164296;0;2.871113182;1.078355;122.674;2.93165;248.0907722;0.554785416
02.01.2013 10:00;0.334447306;0.287285;86.2825;16.22912121;13.0115;52.04776536;27.2175;40.229;16.37406136;8.20755;974.155;10.400448;0;3.906011095;1.46705;93.8755;4.06915;0.083663327;0.885654847
02.01.2013 11:00;0.343935256;0.295435;83.3715;9.664194404;7.74815;36.47760966;19.07535;26.8235;35.79628305;17.943;974.66;15.156792;0;2.782132649;1.044935;105.3775;4.12035;324.4264158;0.735850675
02.01.2013 12:00;0.272798918;0.23433;75.464;6.944165501;5.5674;23.26798529;12.1676;17.735;54.59416953;27.3655;974.555;10.9856336;0;2.162117787;0.812065;256.515;4.63145;264.323696;1.104224638
02.01.2013 13:00;0.233653851;0.200705;70.8475;2.646750582;2.122;16.01734482;8.376;10.498;61.30335417;30.7285;974.86;8.9010456;0;2.094903139;0.78682;221.42;5.245;272.6419537;1.394564221
02.01.2013 14:00;0.239177817;0.20545;69.1945;6.40153174;5.13235;16.75864421;8.76365;13.896;63.71131903;31.9355;975.4;11.1649936;0;1.696434361;0.63716;114.305;5.0154;261.6012098;0.773959501
02.01.2013 15:00;0.293538528;0.252145;66.0825;8.218584637;6.58915;22.44713462;11.73835;18.3275;60.6629592;30.4075;975.875;15.433384;0;1.66718687;0.626175;117.5435;5.1692;278.1575174;0.806367724
02.01.2013 16:00;0.28568041;0.245395;68.353;3.945866072;3.16355;28.22244301;14.75845;17.922;54.50339704;27.32;976.415;15.791632;0;1.854746225;0.69662;14.6424;4.921;262.4270017;0.956497189
02.01.2013 17:00;0.395001378;0.3393;75.2165;26.64275015;21.3605;70.84844893;37.049;58.4095;15.29466667;7.6665;977.265;15.315856;0;2.964287142;1.11335;0.0123155;3.85675;22.95418724;0.421982416
02.01.2013 18:00;0.434990466;0.37365;79.174;28.35715103;22.735;80.08576795;41.8795;64.6145;5.163458719;2.5882;977.995;22.407184;0;3.015620017;1.13263;0.014323;3.04135;335.3961992;0.174770373
02.01.2013 19:00;0.535102884;0.459645;83.1095;40.76831582;32.6855;78.88198111;41.25;73.9355;2.282479376;1.1441;978.86;25.470936;0;3.920654809;1.47255;0.0128035;2.51295;290.5033616;0.282057323
02.01.2013 20:00;0.662707072;0.569255;85.384;69.50152496;55.722;78.75003307;41.181;96.903;2.366967621;1.18645;979.4;34.52956;0;4.309112611;1.61845;0.0120985;2.1771;249.8932674;0.308825046
02.01.2013 21:00;0.631600568;0.542535;86.8575;69.09740281;55.398;74.07543906;38.7365;94.1345;2.269013127;1.13735;979.765;30.580336;0;4.021829562;1.51055;0.0125325;1.8821;281.2213309;0.402293348
02.01.2013 22:00;0.704355096;0.60503;88.1445;72.92907943;58.47;67.45317723;35.2735;93.7435;2.405670619;1.20585;980.205;29.63492;0;4.064828832;1.5267;0.0157875;1.52845;276.8431187;0.319328854
02.01.2013 23:00;0.679180015;0.583405;88.857;59.79885164;47.943;63.41728823;33.163;81.106;2.20786638;1.1067;980.505;25.966536;0;3.454052822;1.2973;0.01155605;1.2105;259.2630029;0.39265149
03.01.2013 00:00;0.581745178;0.49971;88.751;42.833829;34.3415;57.54273197;30.091;64.4325;2.068745062;1.036965;980.81;34.971824;0;3.805235716;1.4292;0.013021;0.999995;331.8184584;0.441311321
03.01.2013 01:00;0.559730807;0.4808;88.5195;39.91017991;31.9975;47.82925262;25.0115;57.009;1.805814052;0.90517;981.165;27.046944;0;3.816018814;1.43325;0.016439;0.696275;337.2004007;0.368830751
03.01.2013 02:00;0.471067957;0.40464;89.974;19.64607372;15.751;49.74823609;26.015;41.766;1.746063805;0.87522;981.725;22.153248;0;3.040966955;1.14215;0.01253255;0.31425;257.5635819;0.51553094
