;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse
;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse
;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet
;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet
;CO;CO;Hr;NO;NO;NO2;NO2;NOx;O3;O3;p;PM10;RainDur;SO2;SO2;StrGlo;T;WD;WVv
;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle 
;Umrechnung ([ppb]->[ug/m3] Station);Kanalberechnungen (Eichkorrektur);;Umrechnung ([ppb]->[ug/m3] Station);Kanalberechnungen (Eichkorrektur);Umrechnung ([ppb]->[ug/m3] Station);Kanalberechnungen (Subtraktion);Kanalberechnungen (Eichkorrektur);Umrechnung ([ppb]->[ug/m3] Station);Kanalberechnungen (Eichkorrektur);;Horizontale Verdichtung (Erster Messwert);;Kanalberechnungen (Eichkorrektur);Umrechnung ([ppb]->[ug/m3] Station);;;;
;mg/m3;ppm;%Hr;µg/m3;ppb;µg/m3;ppb;ppb;µg/m3;ppb;hPa;µg/m3;min;ppb;µg/m3;W/m2;°C;°;m/s
;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30
Startzeit;Berechnet;Berechnet;Final;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Final;Berechnet;Final;Berechnet;Berechnet;Final;Final;Final;Final
01.01.2013 00:00;0.781993297;0.67172;82.683;79.27529384;63.558;63.03674243;32.964;96.522;3.481873311;1.7453;962.5;148.15176;0;4.4117;11.74612259;0.011176;2.4286;19.403;0.38994
01.01.2013 00:30;0.828280521;0.71148;83.173;81.80479911;65.586;64.73676865;33.853;99.439;3.400876315;1.7047;962.28;219.3388;0;4.5664;12.15801034;0.012153;2.2953;321.41;0.42404
01.01.2013 01:00;0.771399391;0.66262;83.067;75.63944183;60.643;61.02501288;31.912;92.555;3.115790831;1.5618;961.95;299.18232;0;3.6034;9.594029091;0.017144;2.0951;247.21;0.22596
01.01.2013 01:30;0.893869609;0.76782;83.027;81.1711755;65.078;62.1819486;32.517;97.595;3.015841336;1.5117;961.77;244.7796;0;3.1036;8.263314838;0.0094401;2.0309;274.87;0.36094
01.01.2013 02:00;0.966117724;0.82988;83.6;101.1964255;81.133;65.75793175;34.387;115.52;3.12377083;1.5658;961.76;232.16776;0;2.6146;6.961355515;0.0097656;1.8617;259.74;0.2937
01.01.2013 02:30;0.782447322;0.67211;83.582;61.44153331;49.26;56.02054877;29.295;78.555;2.956589839;1.482;961.9;219.12168;0;2.6223;6.981856715;0.015516;1.7236;274.37;0.49407
01.01.2013 03:00;0.773704439;0.6646;84.785;63.60433516;50.994;58.08008558;30.372;81.366;2.862425844;1.4348;961.8;213.28776;0;2.4972;6.648778777;0.0095486;1.4739;257.14;0.39212
01.01.2013 03:30;0.736264874;0.63244;84.608;60.99999245;48.906;55.22694823;28.88;77.786;2.700431853;1.3536;961.67;182.9476;0;2.0689;5.50843281;0.013563;1.4999;212.53;0.26883
01.01.2013 04:00;0.748802937;0.64321;83.89;63.56566915;50.963;57.4566789;30.046;81.009;2.58093136;1.2937;961.35;175.3956;0;2.1105;5.61919254;0.014865;1.6;235.55;0.24318
01.01.2013 04:30;0.784659237;0.67401;83.481;70.6727308;56.661;60.90836316;31.851;88.512;2.854046845;1.4306;961.21;183.1836;0;2.5071;6.675137463;0.01378;1.7146;188.33;0.86641
01.01.2013 05:00;0.589079421;0.50601;81.688;15.52502568;12.447;50.00065843;26.147;38.594;4.295234766;2.153;961;148.27448;0;2.0773;5.530797755;0.011068;2.4075;163.85;2.0329
01.01.2013 05:30;0.542326531;0.46585;83.774;8.159525429;6.5418;43.7707986;22.8892;29.431;6.416717651;3.2164;961.06;99.262;0;2.1028;5.59869134;0.014431;2.5739;159.54;1.9956
01.01.2013 06:00;0.519671869;0.44639;82.69;12.06117505;9.6699;47.75964525;24.9751;34.645;4.862812236;2.4375;960.93;83.963536;0;1.9755;5.259755917;0.0098741;2.8024;179.01;0.92284
01.01.2013 06:30;0.499019572;0.42865;83.561;8.870979968;7.1122;45.25970794;23.6678;30.78;5.024606727;2.5186;960.88;73.398288;0;1.7936;4.775448348;0.015299;2.7975;184.25;1.0949
01.01.2013 07:00;0.483431395;0.41526;81.41;7.222810213;5.7908;45.13426169;23.6022;29.393;5.395676707;2.7046;960.84;68.160032;0;1.9241;5.12290375;0.018229;2.9764;181.22;1.2498
01.01.2013 07:30;0.43699283;0.37537;77.162;5.668686167;4.5448;43.25256788;22.6182;27.163;8.663486529;4.3426;960.75;61.999488;0;2.118;5.639161241;0.011502;3.5957;167.98;1.4074
01.01.2013 08:00;0.373685507;0.32099;67.45;3.011208886;2.4142;32.3517474;16.9178;19.332;28.02176848;14.046;960.62;50.64128;0;2.0995;5.589905111;1.295;4.7077;227.97;1.8087
01.01.2013 08:30;0.293497782;0.25211;53.064;0.407938853;0.32706;9.953165832;5.20484;5.5319;57.40013688;28.772;960.54;31.763168;0;1.4063;3.744264614;10.833;6.2333;245.6;3.1131
01.01.2013 09:00;0.285243848;0.24502;59.52;1.957248357;1.5692;18.82038016;9.8418;11.411;43.92191761;22.016;960.85;19.179648;0;1.3433;3.576527524;22.707;5.6399;227.55;1.5909
01.01.2013 09:30;0.284685049;0.24454;64.973;1.885154962;1.5114;23.3674244;12.2196;13.731;38.15636792;19.126;961.08;26.489984;0;1.5778;4.20088225;34.13;5.3006;203.95;1.8394
01.01.2013 10:00;0.233904147;0.20092;51.483;0.451032742;0.36161;7.002979739;3.66209;4.0237;66.43349639;33.3;961.11;23.967616;0;1.0641;2.833159337;48.587;6.8526;241.74;5.3137
01.01.2013 10:30;0.223426656;0.19192;50.286;0.498292581;0.3995;7.165734779;3.7472;4.1467;65.30033645;32.732;961.25;13.469392;0;0.95491;2.542441672;53.642;7.1618;245.91;3.9904
01.01.2013 11:00;0.215172723;0.18483;50.71;0.758701906;0.60828;8.33628601;4.35932;4.9676;65.29036145;32.727;961.22;12.21104;0;0.89591;2.385354555;70.631;7.1739;238.85;3.1597
01.01.2013 11:30;0.213181999;0.18312;53.516;0.749758833;0.60111;8.720407793;4.56019;5.1613;65.87888642;33.022;961.15;13.290032;0;0.87921;2.340890913;50.199;7.1309;237.59;3.1283
01.01.2013 12:00;0.207710421;0.17842;56.772;0.370719702;0.29722;6.819571961;3.56618;3.8634;68.0275013;34.099;961.12;12.063776;0;0.83273;2.217138215;41.167;6.9647;244.77;3.7235
01.01.2013 12:30;0.211633659;0.18179;56.095;0.91793102;0.73594;9.894114303;5.17396;5.9099;66.1342464;33.15;961.08;13.127664;0;0.8692;2.314239353;39.931;7.2072;236.91;2.942
01.01.2013 13:00;0.204520608;0.17568;59.47;0.583731985;0.468;8.150946819;4.2624;4.7304;68.31478128;34.243;961.15;13.38632;0.15;0.85598;2.279041189;44.732;7.3001;237.27;3.5332
01.01.2013 13:30;0.20179646;0.17334;61.473;0.685461004;0.54956;8.344929563;4.36384;4.9134;69.11876624;34.646;961.16;12.882224;0;0.7989;2.12706606;37.796;7.4642;237.82;3.3393
01.01.2013 14:00;0.208199371;0.17884;65.738;2.074368941;1.6631;8.909552441;4.6591;6.3222;69.30031123;34.737;961.44;9.3720544;25.217;0.79521;2.117241459;25.146;7.2976;225.54;3.8866
01.01.2013 14:30;0.189549438;0.16282;72.384;0.463717687;0.37178;5.473778433;2.86242;3.2342;74.12023097;37.153;961.76;11.327456;30;0.68284;1.818057064;14.543;7.0569;230.18;4.261
01.01.2013 15:00;0.200934978;0.1726;75.646;1.130257293;0.90617;8.652406744;4.52463;5.4308;70.78459115;35.481;961.97;6.9535264;30;0.63874;1.700641101;8.8963;6.7286;232.41;3.7846
01.01.2013 15:30;0.202122426;0.17362;77.175;0.989176257;0.79306;7.675819134;4.01394;4.807;72.27286107;36.227;962.19;6.1383824;23.767;0.61256;1.630937021;7.1819;6.5237;236.15;4.0966
01.01.2013 16:00;0.207128338;0.17792;80.769;2.005643231;1.608;13.96469225;7.3026;8.9106;64.2609415;32.211;962.32;11.756976;30;0.59105;1.573666785;2.5945;6.1642;227.76;2.5756
01.01.2013 16:30;0.221331158;0.19012;81.075;1.087849414;0.87217;15.95467906;8.34323;9.2154;60.7577217;30.455;962.43;11.93256;30;0.55945;1.489531991;0.03635;6.0359;207.39;2.7789
01.01.2013 17:00;0.215207647;0.18486;82.538;1.28645549;1.0314;15.39049601;8.0482;9.0796;64.89136147;32.527;962.41;11.766416;30;0.56178;1.495735601;0.014214;6.0261;199.14;3.6053
01.01.2013 17:30;0.21213425;0.18222;81.271;1.015643763;0.81428;12.4616702;6.51662;7.3309;67.9616663;34.066;962.5;9.2895488;30;0.53638;1.428108266;0.0093316;5.9691;214.46;2.8487
01.01.2013 18:00;0.203077042;0.17444;81.671;0.500924364;0.40161;9.344579396;4.88659;5.2882;68.73772126;34.455;962.64;9.2418768;30;0.45345;1.207307679;0.011393;5.926;236.55;3.5752
01.01.2013 18:30;0.207465946;0.17821;82.761;0.619828574;0.49694;11.50694007;6.01736;6.5143;65.01106146;32.587;962.8;5.5977536;28.767;0.45732;1.217611529;0.0061849;5.8407;241.05;2.1228
01.01.2013 19:00;0.206441481;0.17733;84.372;0.676443093;0.54233;11.94238773;6.24507;6.7874;64.72178648;32.442;963.04;4.5888064;30;0.44193;1.176635754;0.0093316;5.8333;240.54;1.8986
01.01.2013 19:30;0.20587104;0.17684;83.182;1.244521582;0.99778;13.01202739;6.80442;7.8022;64.00957152;32.085;963.12;5.6324928;30;0.48794;1.29913708;0.008138;5.9951;213.09;1.7463
01.01.2013 20:00;0.22865376;0.19641;88.196;7.679942206;6.1573;16.14489459;8.4427;14.6;56.31485694;28.228;963.29;7.6317904;30;0.51626;1.374538896;0.010091;5.6284;161.23;2.7587
01.01.2013 20:30;0.224427839;0.19278;88.419;13.16764651;10.557;21.64330333;11.318;21.875;50.41165226;25.269;963.47;2.5541088;5.5167;0.52866;1.407553816;0.012478;5.5642;165.74;2.0044
01.01.2013 21:00;0.221540708;0.1903;87.121;0.782749668;0.62756;13.85844539;7.24704;7.8746;58.09240184;29.119;963.72;4.6271328;0;0.53114;1.4141568;0.0062934;5.612;198.36;1.4643
01.01.2013 21:30;0.209153987;0.17966;81.214;0.430452447;0.34511;9.218368226;4.82059;5.1657;64.70582648;32.434;963.8;4.7382416;6.4833;0.43186;1.149824445;0.01378;5.9952;235.98;2.7333
01.01.2013 22:00;0.20945667;0.17992;83.91;0.331704453;0.26594;8.65112551;4.52396;4.7899;65.15869146;32.661;964.14;7.3019568;30;0.37535;0.999366937;0.0075955;5.7952;247.46;2.3602
01.01.2013 22:30;0.206429839;0.17732;85.447;0.480905351;0.38556;8.872912956;4.63994;5.0255;65.01106146;32.587;964.54;7.8763808;30;0.32929;0.876732486;0.0092231;5.5667;244.44;2.5949
01.01.2013 23:00;0.206697597;0.17755;85.48;0.250630566;0.20094;7.517902188;3.93136;4.1323;64.2928615;32.227;964.92;8.8896704;15.333;0.31525;0.839351077;0.013129;5.6;250.99;2.9103
01.01.2013 23:30;0.20151706;0.1731;87.955;0.339749477;0.27239;7.273224625;3.80341;4.0758;61.56170665;30.858;965.1;5.3365488;30;0.32395;0.862514771;0.0086806;5.4569;254.26;2.4141
02.01.2013 00:00;0.201761535;0.17331;90.364;0.066244849;0.053111;10.30665081;5.389689;5.4428;56.30488194;28.223;965.41;8.6241232;14.55;0.34413;0.916243889;0.012478;5.2691;282.35;1.6122
02.01.2013 00:30;0.202040935;0.17355;89.504;0.012681203;0.010167;9.687344073;5.065833;5.076;57.80312686;28.974;965.75;13.647808;0.48333;0.33744;0.898431808;0.0091146;5.2284;284.32;1.7552
02.01.2013 01:00;0.191400462;0.16441;89.214;0.2383697;0.19111;7.362681572;3.85019;4.0413;62.05247662;31.104;966.09;9.3666736;1.75;0.30053;0.800159173;0.0080295;4.9951;289.01;1.5502
02.01.2013 01:30;0.18935153;0.16265;87.91;0.192157585;0.15406;6.97171379;3.64574;3.7998;64.72178648;32.442;966.49;7.3143232;7.7;0.28011;0.745791055;0.015191;4.8284;285.01;1.6323
02.01.2013 02:00;0.186382908;0.1601;88.216;0.154115222;0.12356;6.628266425;3.46614;3.5897;65.05295646;32.608;967.11;7.2424848;19.617;0.28689;0.763842761;0.016602;4.7358;278.68;1.5353
02.01.2013 02:30;0.184392185;0.15839;89.073;0.333725064;0.26756;7.267162664;3.80024;4.0678;63.58264154;31.871;967.67;2.7934128;30;0.24156;0.643151931;0.0059679;4.7618;294.89;1.6559
02.01.2013 03:00;0.184927701;0.15885;91.563;0.350900255;0.28133;10.34199185;5.40817;5.6895;59.36720677;29.758;968.19;10.329648;30;0.31952;0.850719924;0.01888;4.5284;259.51;1.3254
