;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse
;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse
;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet
;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet
;CO;Hr;NO;NO2;NOx;O3;p;PM10;PM2.5;PN;SO2;StrGlo;T;WD;WVv;RainDur
;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle 
;Kanalberechnungen (Eichkorrektur);;Kanalberechnungen (Eichkorrektur);Kanalberechnungen (Subtraktion);Kanalberechnungen (Eichkorrektur);Kanalberechnungen (Eichkorrektur);;Horizontale Verdichtung (Erster Messwert);Horizontale Verdichtung (Erster Messwert);;Kanalberechnungen (Eichkorrektur);;;;;
;ppm;%Hr;ppb;ppb;ppb;ppb;hPa;µg/m3;µg/m3;1/cm3;ppb;W/m2;°C;°;m/s;min
;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30;min30
Startzeit;Berechnet;Final;Berechnet;Berechnet;Berechnet;Berechnet;Final;Berechnet;Berechnet;Final;Berechnet;Final;Final;Final;Final;Final
01.01.2017 00:00;0.31287;88.217;7.5063;20.1657;27.672;0.71217;977.33;76.37508;;16254;1.2582;0.033637;-1.6416;296.15;1.3105;0
01.01.2017 00:30;0.31102;86.607;7.6017;19.2733;26.875;0.73894;977.1;135.38172;;15579;1.1697;0.031141;-1.6494;288.27;1.4193;0
01.01.2017 01:00;0.31467;87.549;9.9651;20.4719;30.437;0.71133;976.8;94.8574;;12497;0.7506;0.037977;-2.1413;301.2;1.2009;0
01.01.2017 01:30;0.31723;86.708;14.552;20.845;35.397;0.63794;976.44;77.346576;;12020;0.73906;0.041233;-2.0083;291.53;1.0194;0
01.01.2017 02:00;0.31287;86.932;8.3434;19.5846;27.928;0.60989;976.24;78.607296;;10350;0.68112;0.02615;-2.1164;286.61;1.1283;0
01.01.2017 02:30;0.31301;86.717;8.9536;20.7124;29.666;0.40811;976.08;77.157056;;10742;0.6727;0.035156;-1.9752;271.17;0.61363;0
01.01.2017 03:00;0.31267;87.067;8.7161;20.5959;29.312;0.64056;975.75;73.28508;;9006.6;0.61785;0.042209;-1.9251;277.18;0.85789;0
01.01.2017 03:30;0.31111;87.46;8.0582;20.4418;28.5;0.90789;975.4;61.84384;;10229;0.56849;0.02691;-1.9835;230.95;0.6619;0
01.01.2017 04:00;0.31536;88.623;6.6781;21.2479;27.926;1.2245;975.1;51.88168;;7776.8;0.55873;0.031467;-2.1666;211.06;0.93178;0
01.01.2017 04:30;0.31494;87.175;10.008;22.568;32.576;1.1896;974.73;55.331768;;7688.4;0.54574;0.029731;-2.1251;206.28;0.58758;0
01.01.2017 05:00;0.30512;86.707;5.217;20.928;26.145;1.1504;974.46;36.23392;;6614;0.56034;0.041775;-2.1331;269.31;0.91765;0
01.01.2017 05:30;0.30129;88.618;4.0485;20.6195;24.668;0.99072;974.24;35.381904;;6236.1;0.49999;0.036567;-2.3085;242.19;0.623;0
01.01.2017 06:00;0.30069;87.3;9.2938;19.3882;28.682;1.3424;974.03;46.656696;;8182.6;0.58842;0.037218;-2.3333;297.29;0.94861;0
