;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse
;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse
;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet
;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet
;CO;CO_95%;CO_max_d1;CO_max_min30;CO_min_d1;CO_min_min30;CO_nb_d1;CO_nb_d1>8;CO_nb_min30;Hr_nb_min30;NO;NO_95%;NO_max_d1;NO_max_min30;NO_min_d1;NO_min_min30;NO_nb_d1;NO_nb_min30;NO2;NO2_95%;NO2_max_d1;NO2_max_h1;NO2_max_min30;NO2_min_d1;NO2_min_min30;NO2_nb_d1;NO2_nb_d1>80;NO2_nb_h1;NO2_nb_h1>200;NO2_nb_min30;NOx;NOx_95%;NOx_max_d1;NOx_max_min30;NOx_min_d1;NOx_min_min30;NOx_nb_d1;NOx_nb_min30;O3;O3_98%;O3_h709001600;O3_max_98%_m1;O3_max_d1;O3_max_h1;O3_max_h8gl_EU;O3_max_h8gl_ugz;O3_max_min30;O3_min_d1;O3_min_h1;O3_min_min30;O3_nb_98%_m1>100;O3_nb_d1;O3_nb_d1_mit_h1>120;O3_nb_d1_mit_h1>160;O3_nb_d1_mit_h1>180;O3_nb_d1_mit_h1>200;O3_nb_d1_mit_h1>240;O3_nb_d1_mit_h8gl>120_EU;O3_nb_d1>65;O3_nb_h1;O3_nb_h1>120;O3_nb_h1>160;O3_nb_h1>180;O3_nb_h1>200;O3_nb_h1>240;O3_nb_min30;p_nb_min30;PM10;PM10_95%;PM10_max_d1;PM10_max_min30;PM10_min_d1;PM10_min_min30;PM10_nb_d1;PM10_nb_d1>50;PM10_nb_min30;PM10b_roh;PM10h;PM10h_max_d1;PM10h_min_d1;PM10h_nb_d1;PM10h_nb_d1>50;RainDur_nb_min30;SO2;SO2_95%;SO2_max_d1;SO2_max_min30;SO2_min_d1;SO2_min_min30;SO2_nb_d1;SO2_nb_d1>100;SO2_nb_min30;StrGlo_nb_min30;T;T_max_d1;T_max_h1;T_max_min30;T_min_d1;T_min_min30;T_nb_d1;T_nb_min30;WVv_nb_min30
;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle 
;Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Percentil);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Anzahl mit Filter);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Percentil);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Percentil);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Anzahl mit Filter);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Anzahl mit Filter);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Percentil);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Percentil);Vertikale Verdichtung (Erster Messwert);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Anzahl mit Filter);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Summe);Vertikale Verdichtung (Summe);Vertikale Verdichtung (Summe);Vertikale Verdichtung (Summe);Vertikale Verdichtung (Summe);Vertikale Verdichtung (Anzahl mit Filter);Vertikale Verdichtung (Anzahl mit Filter);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Anzahl mit Filter);Vertikale Verdichtung (Anzahl mit Filter);Vertikale Verdichtung (Anzahl mit Filter);Vertikale Verdichtung (Anzahl mit Filter);Vertikale Verdichtung (Anzahl mit Filter);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Percentil);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Anzahl mit Filter);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Anzahl mit Filter);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Percentil);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Anzahl mit Filter);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Anzahl)
;mg/m3;mg/m3;mg/m3;mg/m3;mg/m3;mg/m3;1;1;1;1;µg/m3;µg/m3;µg/m3;µg/m3;µg/m3;µg/m3;1;1;µg/m3;µg/m3;µg/m3;µg/m3;µg/m3;µg/m3;µg/m3;1;1;1;1;1;ppb;ppb;ppb;ppb;ppb;ppb;1;1;µg/m3;µg/m3;µg/m3;µg/m3;µg/m3;µg/m3;µg/m3;µg/m3;µg/m3;µg/m3;µg/m3;µg/m3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;µg/m3;µg/m3;µg/m3;µg/m3;µg/m3;µg/m3;1;1;1;µg/m3;µg/m3;µg/m3;µg/m3;1;1;1;µg/m3;µg/m3;µg/m3;µg/m3;µg/m3;µg/m3;1;1;1;1;°C;°C;°C;°C;°C;°C;1;1;1
;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1
Startzeit;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet
