;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse;Zch_Stampfenbachstrasse
;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse;Zürich Stampfenbachstrasse
;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet
;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet;Airmet
;CO;CO_max_d1;CO_max_min30;CO_min_d1;CO_min_min30;CO_nb_d1>8;CO_nb_d1;CO_nb_min30;Hr_nb_min30;NO;NO_95%;NO_max_d1;NO_max_min30;NO_min_d1;NO_min_min30;NO_nb_d1;NO_nb_min30;NO2;NO2_95%;NO2_max_d1;NO2_max_h1;NO2_max_min30;NO2_min_d1;NO2_min_min30;NO2_nb_d1;NO2_nb_d1>80;NO2_nb_h1;NO2_nb_h1>200;NO2_nb_min30;NOx;NOx_95%;NOx_max_d1;NOx_max_min30;NOx_min_d1;NOx_min_min30;NOx_nb_d1;NOx_nb_min30;O3;O3_98%;O3_h709001600;O3_max_d1;O3_max_h1;O3_max_h8gl_EU;O3_max_h8gl_ugz;O3_max_min30;O3_min_d1;O3_min_h1;O3_min_min30;O3_nb_d1;O3_nb_d1_mit_h1>120;O3_nb_d1_mit_h1>160;O3_nb_d1_mit_h1>180;O3_nb_d1_mit_h1>200;O3_nb_d1_mit_h1>240;O3_nb_d1_mit_h8gl>120_EU;O3_nb_d1>65;O3_nb_h1;O3_nb_h1>120;O3_nb_h1>160;O3_nb_h1>180;O3_nb_h1>200;O3_nb_h1>240;O3_nb_min30;p_nb_min30;PM10;PM10_95%;PM10_max_d1;PM10_max_min30;PM10_min_d1;PM10_min_min30;PM10_nb_d1;PM10_nb_d1>50;PM10_nb_min30;PM2.5;PM2.5_max_d1;PM2.5_max_min30;PM2.5_min_d1;PM2.5_min_min30;PM2.5_nb_d1;PM2.5_nb_min30;PN;RainDur_nb_min30;SO2_95%;SO2_max_d1;SO2_max_min30;SO2_min_d1;SO2_min_min30;SO2_nb_d1;SO2_nb_d1>100;SO2_nb_min30;StrGlo_nb_min30;T;T_max_d1;T_max_h1;T_max_min30;T_min_d1;T_min_min30;T_nb_d1;T_nb_min30;WVv_nb_min30;O3_nb_98%_m1>100;PM2.5_95%;SO2;CO_95%;O3_max_98%_m1
;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle ;Alle 
;Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Anzahl mit Filter);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Percentil);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Percentil);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Anzahl mit Filter);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Anzahl mit Filter);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Percentil);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Percentil);Vertikale Verdichtung (Erster Messwert);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Summe);Vertikale Verdichtung (Summe);Vertikale Verdichtung (Summe);Vertikale Verdichtung (Summe);Vertikale Verdichtung (Summe);Vertikale Verdichtung (Anzahl mit Filter);Vertikale Verdichtung (Anzahl mit Filter);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Anzahl mit Filter);Vertikale Verdichtung (Anzahl mit Filter);Vertikale Verdichtung (Anzahl mit Filter);Vertikale Verdichtung (Anzahl mit Filter);Vertikale Verdichtung (Anzahl mit Filter);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Percentil);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Anzahl mit Filter);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Percentil);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Anzahl mit Filter);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Maximum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Minimum);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Anzahl);Vertikale Verdichtung (Anzahl mit Filter);Vertikale Verdichtung (Percentil);Vertikale Verdichtung (Mittelwert);Vertikale Verdichtung (Percentil);Vertikale Verdichtung (Maximum)
;mg/m3;mg/m3;mg/m3;mg/m3;mg/m3;1;1;1;1;µg/m3;µg/m3;µg/m3;µg/m3;µg/m3;µg/m3;1;1;µg/m3;µg/m3;µg/m3;µg/m3;µg/m3;µg/m3;µg/m3;1;1;1;1;1;ppb;ppb;ppb;ppb;ppb;ppb;1;1;µg/m3;µg/m3;µg/m3;µg/m3;µg/m3;µg/m3;µg/m3;µg/m3;µg/m3;µg/m3;µg/m3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;µg/m3;µg/m3;µg/m3;µg/m3;µg/m3;µg/m3;1;1;1;µg/m3;µg/m3;µg/m3;µg/m3;µg/m3;1;1;1/cm3;1;µg/m3;µg/m3;µg/m3;µg/m3;µg/m3;1;1;1;1;°C;°C;°C;°C;°C;°C;1;1;1;1;µg/m3;µg/m3;mg/m3;µg/m3
;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1;y1
Startzeit;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet;Berechnet
01.01.2017 00:00;0.30194271;0.873182144;1.52703598;0.168074222;0.117196548;0;365;17459;17501;14.21152116;56.77417201;110.2512094;228.1169717;0.437050459;-0.248135985;365;17453;30.41906607;68.76481725;82.86309096;109.8285775;114.6666723;5.339606558;1.829870733;365;1;8716;0;17453;27.30105071;79.6666;126.1967083;227.35;3.676847917;1.2859;365;17453;45.29105719;108.7938079;74.26676082;115.6571678;152.3870692;139.1850327;139.1850327;154.3371816;2.588043119;0.409753028;0.244148087;365;13;0;0;0;0;8;69;8728;81;0;0;0;0;17483;17498;15.87553052;38.37144375;70.66198125;135.38172;3.158704297;-27.640912;361;8;17386;10.44235078;55.77896094;68.387;1.95816138;1.32196875;352;16965;;17497;2.174576925;3.690971479;12.76825385;-0.023067855;-0.157068479;365;0;17452;17497;11.86005265;28.59725;33.7035;34.033;-6.5045875;-9.7334;365;17500;17497;5;27.9228;1.054136345;0.512899918;134.1742763
