"timestamp_cet","air_temperature","water_temperature","wind_gust_max_10min","wind_speed_avg_10min","wind_force_avg_10min","wind_direction","windchill","barometric_pressure_qfe","dew_point","humidity"
"2007-04-15T11:30:00",17.4,11.9,0.6,0,0,154,17.4,973.2,9.3,59
"2007-04-15T11:40:00",16.7,12.1,0.5,0.1,0.1,150,16.7,973.3,10.9,69
"2007-04-15T11:50:00",17,12,0.7,0.1,0.1,145,17,973.3,11,68
"2007-04-15T12:00:00",17,12,1.1,0.1,0.1,151,17,973.2,10.3,65
"2007-04-15T12:10:00",16.8,12.1,0.7,0.1,0.1,151,16.8,973.2,10.2,65
"2007-04-15T12:20:00",16.6,12,1.1,0.1,0.1,158,16.6,973.2,10.3,66
"2007-04-15T12:30:00",17,12.4,0.4,0,0,150,17,973.1,10,63
"2007-04-15T12:40:00",17.3,12.4,0.6,0,0,155,17.3,973.1,10.1,63
"2007-04-15T12:50:00",17.3,12.4,0.9,0.1,0.1,171,17.3,973,10.3,64
"2007-04-15T13:00:00",17.6,12.5,0.9,0.2,0.2,168,17.6,973.1,10.5,63
"2007-04-15T13:10:00",17.8,12.8,0,0,0,150,17.8,973.1,10.3,62
"2007-04-15T13:20:00",18.2,12.8,1.5,0.4,0.4,172,18.2,973.2,10,59
"2007-04-15T13:30:00",18.8,12.4,1.4,0.7,0.7,176,18.8,973.4,9.6,55
"2007-04-15T13:40:00",18.7,12.3,2,1.2,1.2,203,18.7,973.5,10.6,59
"2007-04-15T13:50:00",18.6,12.8,1.4,0.8,0.8,217,18.6,973.4,10.8,60
"2007-04-15T14:00:00",19.3,12.2,2.7,1.3,1.3,260,19.2,973.5,10.8,58
"2007-04-15T14:10:00",21.3,13.2,2.8,1.3,1.3,343,21.2,973.6,9.8,48
"2007-04-15T14:20:00",22.5,13.6,2.9,0.7,0.7,312,22.4,973.3,9.9,45
"2007-04-15T14:30:00",23.1,14.2,4,1.1,1.1,330,23,973.1,9.5,42
"2007-04-15T14:40:00",23.4,14.1,5.3,1.6,1.6,335,23,972.9,9.6,42
"2007-04-15T14:50:00",24,13.9,5.2,2.4,2.4,330,23.3,973,10,41
"2007-04-15T15:00:00",24.1,14.1,5.6,2.5,2.5,333,23.1,973.2,10,41
"2007-04-15T15:10:00",24.8,13.9,4.1,1.5,1.5,24,24.5,973.2,9.8,39
"2007-04-15T15:20:00",25,13.9,4.6,1.3,1.3,349,24.7,973.1,9.6,38
"2007-04-15T15:30:00",25.1,14,6.3,2.4,2.4,20,24.2,972.5,9.5,37
"2007-04-15T15:40:00",25.1,14.1,5,2.4,2.4,342,24.4,972.6,9.5,37
"2007-04-15T15:50:00",25.2,14.2,5.5,2.5,2.5,9,24.3,972.6,9.5,37
"2007-04-15T16:00:00",25.3,14.1,4.1,1.3,1.3,5,25.1,972.7,9.6,37
"2007-04-15T16:10:00",25.4,13.9,4.3,1.7,1.7,1,25,972.8,9.7,37
"2007-04-15T16:20:00",25.5,13.9,5.2,2.5,2.5,55,24.7,973,9.8,37
"2007-04-15T16:30:00",25.6,13.9,7.3,3.8,3.8,59,24.3,972.9,9.7,37
"2007-04-15T16:40:00",25.6,13.3,5.8,2.8,2.8,33,24.6,973,9.6,37
"2007-04-15T16:50:00",25.6,12.8,5.9,2,2,55,24.9,973,9.5,36
"2007-04-15T17:00:00",25.6,12.7,5.7,1.7,1.7,50,25.1,973,9.5,36
"2007-04-15T17:10:00",25.6,12.8,6.9,2.9,2.9,38,24.6,973.1,9.7,37
"2007-04-15T17:20:00",25.5,12.4,6.4,3.5,3.5,53,24.2,973,8.4,34
"2007-04-15T17:30:00",25.7,12.3,6.9,3,3,45,24.7,973.1,8,32
"2007-04-15T17:40:00",25.6,12.2,6.9,3.4,3.4,20,24.3,973,8,33
"2007-04-15T17:50:00",25.6,11.8,7.5,3.8,3.8,21,24,973,8,33
"2007-04-15T18:00:00",25.7,11.5,5.5,2.7,2.7,37,24.9,973,8.7,34
"2007-04-15T18:10:00",25.6,11.4,5.6,2.7,2.7,28,24.7,973.1,9.5,36
"2007-04-15T18:20:00",25.8,11.3,6.2,2.7,2.7,23,24.9,973.2,9.8,37
"2007-04-15T18:30:00",25.7,11.3,5.2,2.9,2.9,51,24.9,973.2,9.7,37
"2007-04-15T18:40:00",25.6,11.2,5,2.2,2.2,56,25.1,973.1,9.6,37
"2007-04-15T18:50:00",25.6,11,5.1,2.2,2.2,58,25.1,973.2,9.7,37
"2007-04-15T19:00:00",25.6,11.2,4.8,2.4,2.4,31,24.9,973,9.7,37
"2007-04-15T19:10:00",25.4,11.3,4.3,2,2,31,25.1,972.9,9.5,37
"2007-04-15T19:20:00",25.3,11.3,3.7,2.1,2.1,22,24.9,973,9.4,37
"2007-04-15T19:30:00",25.1,11.1,3.9,2,2,18,24.9,973,9.2,37
"2007-04-15T19:40:00",24.7,11.2,4.3,2.1,2.1,24,24.4,973,8.9,37
"2007-04-15T19:50:00",24.6,11.1,3.2,1.6,1.6,23,24.5,973.1,8.8,37
"2007-04-15T20:00:00",24.1,11,2.7,1.3,1.3,23,24.1,973.1,8.5,37
"2007-04-15T20:10:00",23.6,10.8,2.3,1.3,1.3,23,23.6,973.1,8,37
"2007-04-15T20:20:00",23.2,10.7,2.1,1.2,1.2,34,23.2,973.1,7.7,37
"2007-04-15T20:30:00",22.8,10.5,1.9,0.9,0.9,33,22.8,973.1,7.5,37
"2007-04-15T20:40:00",22.5,10.5,1.9,1.1,1.1,28,22.5,973.1,7.5,38
"2007-04-15T20:50:00",22.1,10.4,1.4,0.7,0.7,41,22.1,973.1,8,40
"2007-04-15T21:00:00",21.8,10.5,1.8,0.7,0.7,29,21.8,973.1,8,41
"2007-04-15T21:10:00",21.5,10.5,2.6,1.2,1.2,32,21.4,973.1,7.7,41
"2007-04-15T21:20:00",21.4,10.5,3.9,1.8,1.8,36,20.9,973.2,7.7,41
"2007-04-15T21:30:00",21.2,10.4,4.6,1.8,1.8,42,20.9,973.1,7.5,41
"2007-04-15T21:40:00",21,10.4,3.3,1.7,1.7,50,20.8,973.1,7.4,41
"2007-04-15T21:50:00",20.8,10.5,3.5,1.4,1.4,46,20.6,973.1,7.2,41
"2007-04-15T22:00:00",20.6,10.6,3.5,1.7,1.7,43,20.3,973.1,7,41
"2007-04-15T22:10:00",20.4,10.7,3.6,1.7,1.7,45,20.1,973.1,6.8,41
"2007-04-15T22:20:00",20.2,10.9,2.8,1.4,1.4,40,20.1,973.1,6.6,41
"2007-04-15T22:30:00",20,11,3.8,1.8,1.8,51,19.7,973.1,6.4,41
"2007-04-15T22:40:00",19.9,11.1,3.1,0.9,0.9,71,19.9,973.1,5.9,40
"2007-04-15T22:50:00",19.9,11.1,2.4,0.6,0.6,61,19.8,973.1,5.3,38
"2007-04-15T23:00:00",19.5,11.1,1.7,0.6,0.6,221,19.5,973.2,5.8,41
"2007-04-15T23:10:00",18.8,11.1,1.9,1,1,284,18.8,973.1,6.1,43
"2007-04-15T23:20:00",18.6,11.1,1.3,0.5,0.5,313,18.6,973.2,5.5,42
"2007-04-15T23:30:00",18.4,11,1.3,0.4,0.4,329,18.4,973.2,5.9,44
"2007-04-15T23:40:00",18,11,1.2,0.2,0.2,19,18,973.2,6.1,46
"2007-04-15T23:50:00",17.7,11,0.9,0.3,0.3,12,17.7,973.2,5.9,46
