MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss
 
stn;time;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;201903121510;9.0;0.0;0;279;31;-7.1;221;7.6;15.5;953.9;1017.6;1017.2;-;-;-;-;-;-;-;-
COM;201903121510;10.9;0.0;0;157;19;-11.5;168;10.1;13.0;952.8;1020.5;1020.6;-;-;-;-;-;-;-;-
ABO;201903121510;5.7;0.0;0;181;46;-4.9;236;7.6;20.5;866.8;-;1016.8;1486.7;-;-;-;-;-;-;-
AIG;201903121510;7.8;0.0;4;361;53;-1.1;354;6.8;8.6;974.1;1020.1;1019.4;-;-;-;-;-;-;-;-
ALT;201903121510;8.2;0.0;3;254;41;-4.4;331;7.6;11.2;965.8;1018.3;1017.7;-;-;-;-;-;-;-;-
ARH;201903121510;10.1;0.0;0;162;29;-7.1;207;12.2;24.1;970.3;1017.7;1017.4;-;-;-;-;-;-;-;-
AND;201903121510;4.3;0.0;0;261;51;-4.8;344;7.9;13.7;906.0;-;1019.8;1504.7;-;-;-;-;-;-;-
ANT;201903121510;2.2;0.0;5;257;38;-10.5;199;35.3;58.3;856.4;-;1018.4;1499.5;-;-;-;-;-;-;-
ARO;201903121510;-2.3;0.0;0;204;57;-9.7;280;1.1;4.0;810.5;-;1017.5;1498.9;-;-;-;-;-;-;-
RAG;201903121510;8.0;0.0;0;218;38;-5.6;144;31.7;49.7;960.6;1019.9;1019.2;-;-;-;-;-;-;-;-
BAN;201903121510;-;-;3;286;-;-;-;-;-;-;-;-;-;-;228;23.4;34.9;2.1;49.3;-7.4
BAS;201903121510;11.6;0.0;7;320;30;-5.4;91;14.0;27.0;978.4;1016.1;1016.1;-;-;-;-;-;-;-;-
LAT;201903121510;1.8;0.0;-;-;45;-8.9;41;2.2;7.2;-;-;-;-;-;-;-;-;-;-;-
